model,accuracy,precision,recall,f1_score,roc_auc
random_forest_original,0.9995065644550181,0.9466666666666667,0.7473684210526316,0.8352941176470589,0.9295158637989501
random_forest_smote,0.9994008282668077,0.8860759493670886,0.7368421052631579,0.8045977011494253,0.9476421238444743
logistic_original,0.9991893558903868,0.8656716417910447,0.6105263157894737,0.7160493827160493,0.9592021182700794
logistic_smote,0.9737950480218521,0.05327342747111682,0.8736842105263158,0.10042347247428918,0.9615014632786733
